City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Boras,SE,2022-10-13 17:20:55,57.721,12.9401,50.83,91,100,6.58
1,Castro,BR,2022-10-13 17:20:34,-24.7911,-50.0119,65.62,89,100,8.7
2,Barrow,US,2022-10-13 17:20:56,71.2906,-156.7887,26.62,68,75,9.22
3,Mataura,NZ,2022-10-13 17:20:56,-46.1927,168.8643,34.59,99,20,3.15
4,Thompson,CA,2022-10-13 17:20:56,55.7435,-97.8558,32.16,100,100,14.97
5,Kongoussi,BF,2022-10-13 17:19:20,13.3258,-1.5347,97.23,20,66,6.96
6,Te Anau,NZ,2022-10-13 17:20:57,-45.4167,167.7167,36.14,94,11,1.23
7,Rikitea,PF,2022-10-13 17:20:58,-23.1203,-134.9692,70.3,71,15,17.43
8,Bredasdorp,ZA,2022-10-13 17:20:58,-34.5322,20.0403,60.13,76,97,6.98
9,Geraldton,AU,2022-10-13 17:19:43,-28.7667,114.6,48.61,81,0,10.36
10,Ushuaia,AR,2022-10-13 17:20:59,-54.8,-68.3,46.02,70,75,21.85
11,Ola,RU,2022-10-13 17:20:59,59.5833,151.2833,30.9,80,99,3.44
12,Moerai,PF,2022-10-13 17:21:00,-22.4333,-151.3333,71.96,69,100,10.13
13,Qaanaaq,GL,2022-10-13 17:21:01,77.484,-69.3632,16.16,66,100,10.13
14,Tuktoyaktuk,CA,2022-10-13 17:21:02,69.4541,-133.0374,23.0,93,75,2.3
15,Kautokeino,NO,2022-10-13 17:21:02,69.0125,23.0412,38.59,83,97,8.48
16,Longyearbyen,SJ,2022-10-13 17:21:03,78.2186,15.6401,28.24,69,20,0.0
17,Beringovskiy,RU,2022-10-13 17:21:03,63.05,179.3167,29.59,65,85,5.99
18,Honiara,SB,2022-10-13 17:21:04,-9.4333,159.95,77.18,82,74,2.73
19,Cao Bang,VN,2022-10-13 17:18:30,22.6667,106.25,63.84,65,10,3.85
20,Butaritari,KI,2022-10-13 17:20:40,3.0707,172.7902,82.0,71,53,17.94
21,Cape Town,ZA,2022-10-13 17:21:05,-33.9258,18.4232,64.27,69,75,11.5
22,Atlantic City,US,2022-10-13 17:20:40,39.3643,-74.4229,69.04,86,100,11.99
23,Saint-Philippe,RE,2022-10-13 17:21:06,-21.3585,55.7679,71.19,74,13,10.36
24,Bluff,NZ,2022-10-13 17:21:06,-46.6,168.3333,41.07,87,14,9.78
25,Sao Filipe,CV,2022-10-13 17:21:07,14.8961,-24.4956,80.91,74,64,10.04
